role,skill,difficulty,session_type,output_question,source
Data Analyst,Pandas,Hard,system_design,Design a highly scalable URL shortener using Pandas that handles 1 million events per second.,template
Backend Developer,REST API,Hard,technical,Your REST API deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
Full Stack Developer,Node.js,Medium,system_design,Design the database schema for a real-time chat app that uses Node.js as its data layer.,template
Backend Developer,Django,Medium,behavioural,Describe a challenging bug you solved using Django. What was your thought process?,template
Frontend Developer,Vue.js,Easy,technical,You are starting a new Frontend Developer project. Why would you choose Vue.js?,template
Data Analyst,Tableau,Hard,technical,What are the internal memory management strategies used by Tableau?,template
Full Stack Developer,Docker,Medium,technical,You are building a job scheduling system and need to integrate Docker. Walk me through your approach.,template
Data Analyst,SQL,Hard,technical,A critical deadline is approaching and SQL is causing unexpected cascading timeouts. How do you manage the situation?,template
ML Engineer,Feature Engineering,Medium,behavioural,Describe a challenging bug you solved using Feature Engineering. What was your thought process?,template
Backend Developer,PostgreSQL,Medium,system_design,"How would you design a RESTful API using PostgreSQL that supports 10,000 concurrent users?",template
Data Analyst,SQL,Medium,system_design,Design a notification service that uses SQL for message queuing. What components would you include?,template
Frontend Developer,JavaScript,Hard,system_design,Design a multi-region deployment of JavaScript for a global application with sub-100ms latency requirements.,template
Backend Developer,RabbitMQ,Medium,system_design,"How would you design a RESTful API using RabbitMQ that supports 10,000 concurrent users?",template
Data Analyst,Pandas,Medium,behavioural,Describe a challenging bug you solved using Pandas. What was your thought process?,template
Frontend Developer,CSS,Medium,behavioural,Tell me about a time you had to convince your team to adopt CSS. How did you make the case?,template
Data Analyst,Statistics,Medium,technical,How would you use Statistics to handle high concurrency in a real-world application?,template
Backend Developer,Kafka,Hard,technical,What are the internal memory management strategies used by Kafka?,template
Data Analyst,Tableau,Medium,technical,A Tableau application in production is consuming 90% CPU. How do you investigate and resolve this?,template
DevOps Engineer,Terraform,Medium,technical,You are building a analytics dashboard and need to integrate Terraform. Walk me through your approach.,template
DevOps Engineer,Linux,Easy,system_design,How would you structure a basic project using Linux?,template
DevOps Engineer,Ansible,Medium,behavioural,Describe a challenging bug you solved using Ansible. What was your thought process?,template
Backend Developer,Python,Medium,technical,A memory leak is suspected in your Python application. How do you confirm and eliminate it?,template
ML Engineer,Model Deployment,Easy,system_design,How would you structure a basic project using Model Deployment?,template
Full Stack Developer,Node.js,Easy,technical,What are the main features of Node.js?,template
DevOps Engineer,Linux,Easy,system_design,Design a simple todo app using Linux as the core technology.,template
Backend Developer,Django,Easy,technical,You are starting a new Backend Developer project. Why would you choose Django?,template
DevOps Engineer,Jenkins,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Jenkins under tight time pressure.,template
Frontend Developer,Redux,Hard,technical,"Compare Redux with its closest alternative in terms of performance, scalability, and developer experience.",template
Data Analyst,Statistics,Medium,technical,What are common pitfalls when using Statistics and how do you avoid them?,template
Backend Developer,Docker,Hard,technical,What are the internal memory management strategies used by Docker?,template
Frontend Developer,HTML5,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving HTML5 under tight time pressure.,template
ML Engineer,BERT,Hard,technical,"Compare BERT with its closest alternative in terms of performance, scalability, and developer experience.",template
Frontend Developer,Next.js,Hard,technical,"Compare Next.js with its closest alternative in terms of performance, scalability, and developer experience.",template
DevOps Engineer,Jenkins,Easy,behavioural,Describe your experience learning Jenkins for the first time.,template
Data Analyst,Excel,Easy,technical,What problem does Excel solve in software development?,template
Backend Developer,MongoDB,Medium,behavioural,Describe a challenging bug you solved using MongoDB. What was your thought process?,template
Backend Developer,Redis,Easy,technical,A basic Redis function is returning None unexpectedly. How do you debug it?,template
Frontend Developer,HTML5,Medium,behavioural,Describe a challenging bug you solved using HTML5. What was your thought process?,template
DevOps Engineer,Kubernetes,Medium,technical,Your team is migrating an existing system to use Kubernetes. What is your migration plan?,template
Backend Developer,Docker,Medium,technical,A Docker application in production is consuming 90% CPU. How do you investigate and resolve this?,template
ML Engineer,MLflow,Medium,technical,Your team is migrating an existing system to use MLflow. What is your migration plan?,template
Frontend Developer,React,Medium,technical,Explain how React works under the hood.,template
Frontend Developer,Next.js,Hard,technical,"A deadlock is occurring in your Next.js database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Backend Developer,PostgreSQL,Hard,technical,"Compare PostgreSQL with its closest alternative in terms of performance, scalability, and developer experience.",template
Backend Developer,Python,Medium,technical,How would you use Python to handle authentication at scale in a real-world application?,template
Backend Developer,Python,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Python under tight time pressure.,template
ML Engineer,Feature Engineering,Hard,technical,Your Feature Engineering deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
Backend Developer,Python,Hard,technical,"Compare Python with its closest alternative in terms of performance, scalability, and developer experience.",template
ML Engineer,TensorFlow,Easy,technical,A basic TensorFlow function is returning None unexpectedly. How do you debug it?,template
Data Analyst,Statistics,Medium,behavioural,Tell me about a time you had to convince your team to adopt Statistics. How did you make the case?,template
Backend Developer,PostgreSQL,Hard,technical,You are the lead engineer on a real-time chat app serving 5 million users. How would you architect PostgreSQL into the stack?,template
Backend Developer,MongoDB,Easy,system_design,How would you structure a basic project using MongoDB?,template
Backend Developer,REST API,Medium,technical,What are the trade-offs of using REST API over alternatives?,template
Full Stack Developer,Docker,Hard,system_design,Architect a fault-tolerant real-time chat app using Docker. How do you handle failures without data loss?,template
ML Engineer,PyTorch,Medium,technical,What are the trade-offs of using PyTorch over alternatives?,template
Backend Developer,MongoDB,Medium,technical,You are building a analytics dashboard and need to integrate MongoDB. Walk me through your approach.,template
Frontend Developer,Next.js,Medium,system_design,"How would you design a RESTful API using Next.js that supports 10,000 concurrent users?",template
DevOps Engineer,CI/CD,Medium,system_design,Design a URL shortener that uses CI/CD for full-text search. What components would you include?,template
ML Engineer,TensorFlow,Easy,technical,What are the main features of TensorFlow?,template
ML Engineer,TensorFlow,Medium,technical,A TensorFlow application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,Kafka,Medium,technical,Your team is migrating an existing system to use Kafka. What is your migration plan?,template
DevOps Engineer,Kubernetes,Easy,behavioural,Tell me about a project where you used Kubernetes.,template
Backend Developer,Kafka,Medium,behavioural,Describe a challenging bug you solved using Kafka. What was your thought process?,template
Frontend Developer,Redux,Easy,behavioural,Describe your experience learning Redux for the first time.,template
ML Engineer,scikit-learn,Easy,system_design,Design a simple todo app using scikit-learn as the core technology.,template
Full Stack Developer,GraphQL,Easy,technical,How would you use GraphQL to build a simple job scheduling system?,template
Data Analyst,Excel,Easy,technical,"If a junior developer asked you to explain Excel, what real-world analogy would you use?",template
ML Engineer,TensorFlow,Hard,technical,Your TensorFlow deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
DevOps Engineer,AWS,Medium,technical,Explain how AWS works under the hood.,template
Backend Developer,MongoDB,Medium,technical,Your team is migrating an existing system to use MongoDB. What is your migration plan?,template
Data Analyst,Statistics,Medium,technical,A Statistics application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,Django,Hard,system_design,Design a highly scalable analytics dashboard using Django that handles 1 million events per second.,template
Data Analyst,Statistics,Medium,technical,A memory leak is suspected in your Statistics application. How do you confirm and eliminate it?,template
DevOps Engineer,Jenkins,Hard,technical,"A deadlock is occurring in your Jenkins database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Data Analyst,NumPy,Easy,technical,You are starting a new Data Analyst project. Why would you choose NumPy?,template
Frontend Developer,CSS,Easy,technical,Your CSS application is throwing an unhandled error on startup. What are your first steps?,template
Backend Developer,PostgreSQL,Hard,system_design,Architect a fault-tolerant e-commerce platform using PostgreSQL. How do you handle failures without data loss?,template
Backend Developer,Docker,Hard,technical,"How does Docker ensure fault tolerance at scale, and what are its architectural limitations?",template
Backend Developer,Django,Hard,system_design,Architect a fault-tolerant e-commerce platform using Django. How do you handle failures without data loss?,template
Data Analyst,Excel,Medium,technical,A Excel application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Frontend Developer,Redux,Easy,technical,Your Redux application is throwing an unhandled error on startup. What are your first steps?,template
ML Engineer,Feature Engineering,Medium,technical,How would you use Feature Engineering to handle caching invalidation in a real-world application?,template
Full Stack Developer,Node.js,Easy,technical,How would you use Node.js to build a simple URL shortener?,template
Data Analyst,Python,Easy,technical,You are starting a new Data Analyst project. Why would you choose Python?,template
Backend Developer,Redis,Medium,technical,How does Redis handle high concurrency in a production environment?,template
Backend Developer,Django,Medium,technical,A memory leak is suspected in your Django application. How do you confirm and eliminate it?,template
Data Analyst,Excel,Hard,system_design,Design a multi-region deployment of Excel for a global application with sub-100ms latency requirements.,template
Backend Developer,FastAPI,Hard,technical,A critical deadline is approaching and FastAPI is causing unexpected high latency spikes. How do you manage the situation?,template
DevOps Engineer,AWS,Easy,system_design,How would you structure a basic project using AWS?,template
Backend Developer,PostgreSQL,Easy,system_design,Design a simple todo app using PostgreSQL as the core technology.,template
Backend Developer,RabbitMQ,Hard,system_design,Architect a fault-tolerant notification service using RabbitMQ. How do you handle failures without data loss?,template
Backend Developer,Node.js,Easy,behavioural,Tell me about a project where you used Node.js.,template
DevOps Engineer,Kubernetes,Hard,system_design,Architect a fault-tolerant real-time chat app using Kubernetes. How do you handle failures without data loss?,template
ML Engineer,PyTorch,Easy,technical,What are the main features of PyTorch?,template
DevOps Engineer,Ansible,Medium,technical,Your team is migrating an existing system to use Ansible. What is your migration plan?,template
Data Analyst,SQL,Easy,technical,What are the main features of SQL?,template
Data Analyst,Excel,Medium,behavioural,Tell me about a time you had to convince your team to adopt Excel. How did you make the case?,template
Full Stack Developer,GraphQL,Easy,behavioural,Describe your experience learning GraphQL for the first time.,template
Backend Developer,Docker,Hard,technical,A critical deadline is approaching and Docker is causing unexpected data corruption. How do you manage the situation?,template
Frontend Developer,Next.js,Easy,system_design,Design a simple todo app using Next.js as the core technology.,template
Frontend Developer,Redux,Hard,behavioural,"Tell me about a time Redux caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Backend Developer,Python,Medium,technical,A Python application in production is consuming 90% CPU. How do you investigate and resolve this?,template
ML Engineer,Model Deployment,Easy,behavioural,Tell me about a project where you used Model Deployment.,template
DevOps Engineer,Ansible,Medium,technical,A Ansible application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,Python,Hard,system_design,Architect a fault-tolerant e-commerce platform using Python. How do you handle failures without data loss?,template
Data Analyst,Power BI,Easy,technical,A basic Power BI function is returning None unexpectedly. How do you debug it?,template
Data Analyst,SQL,Easy,system_design,How would you structure a basic project using SQL?,template
Backend Developer,Redis,Hard,technical,"Compare Redis with its closest alternative in terms of performance, scalability, and developer experience.",template
Data Analyst,Tableau,Easy,system_design,Design a simple todo app using Tableau as the core technology.,template
DevOps Engineer,CI/CD,Medium,behavioural,Tell me about a time you had to convince your team to adopt CI/CD. How did you make the case?,template
Frontend Developer,TypeScript,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving TypeScript under tight time pressure.,template
ML Engineer,Model Deployment,Easy,technical,A basic Model Deployment function is returning None unexpectedly. How do you debug it?,template
Data Analyst,Excel,Hard,technical,What are the internal memory management strategies used by Excel?,template
Backend Developer,Kafka,Medium,technical,How would you use Kafka to handle real-time data consistency in a real-world application?,template
ML Engineer,BERT,Medium,technical,Users are reporting intermittent failures in a BERT service. How do you reproduce and fix the issue?,template
Data Analyst,NumPy,Easy,system_design,Design a simple todo app using NumPy as the core technology.,template
Backend Developer,RabbitMQ,Medium,system_design,Design the database schema for a e-commerce platform that uses RabbitMQ as its data layer.,template
ML Engineer,TensorFlow,Hard,technical,"Compare TensorFlow with its closest alternative in terms of performance, scalability, and developer experience.",template
ML Engineer,TensorFlow,Easy,behavioural,Tell me about a project where you used TensorFlow.,template
Backend Developer,Python,Hard,technical,"How does Python ensure high availability at scale, and what are its architectural limitations?",template
Backend Developer,Python,Medium,system_design,"How would you design a RESTful API using Python that supports 10,000 concurrent users?",template
Full Stack Developer,TypeScript,Medium,system_design,Design the database schema for a job scheduling system that uses TypeScript as its data layer.,template
ML Engineer,Feature Engineering,Medium,technical,Users are reporting intermittent failures in a Feature Engineering service. How do you reproduce and fix the issue?,template
Backend Developer,FastAPI,Easy,system_design,Design a simple todo app using FastAPI as the core technology.,template
Data Analyst,Pandas,Easy,technical,How would you use Pandas to build a simple analytics dashboard?,template
Frontend Developer,Vue.js,Hard,technical,A race condition is occurring in your Vue.js setup under load. Describe your complete debugging and resolution strategy.,template
Backend Developer,Node.js,Hard,technical,Your Node.js deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
Backend Developer,Docker,Medium,behavioural,Tell me about a time you had to convince your team to adopt Docker. How did you make the case?,template
DevOps Engineer,Docker,Hard,system_design,Design a highly scalable e-commerce platform using Docker that handles 1 million events per second.,template
Frontend Developer,JavaScript,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving JavaScript under tight time pressure.,template
Data Analyst,Pandas,Hard,technical,"How does Pandas ensure eventual consistency at scale, and what are its architectural limitations?",template
ML Engineer,Feature Engineering,Medium,technical,What are common pitfalls when using Feature Engineering and how do you avoid them?,template
Backend Developer,MongoDB,Hard,technical,Your MongoDB deployment is experiencing cascading failures across microservices. How do you isolate the root cause?,template
Data Analyst,Statistics,Hard,technical,"A deadlock is occurring in your Statistics database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Data Analyst,Excel,Easy,behavioural,Tell me about a project where you used Excel.,template
Data Analyst,NumPy,Hard,technical,What are the internal memory management strategies used by NumPy?,template
Data Analyst,Statistics,Easy,behavioural,Describe your experience learning Statistics for the first time.,template
ML Engineer,PyTorch,Hard,technical,"Compare PyTorch with its closest alternative in terms of performance, scalability, and developer experience.",template
Backend Developer,Docker,Easy,technical,"If a junior developer asked you to explain Docker, what real-world analogy would you use?",template
Full Stack Developer,MongoDB,Hard,technical,A critical deadline is approaching and MongoDB is causing unexpected memory leak. How do you manage the situation?,template
ML Engineer,BERT,Easy,behavioural,Tell me about a project where you used BERT.,template
Data Analyst,Statistics,Hard,technical,"Compare Statistics with its closest alternative in terms of performance, scalability, and developer experience.",template
Data Analyst,SQL,Easy,technical,You are starting a new Data Analyst project. Why would you choose SQL?,template
Backend Developer,FastAPI,Medium,system_design,"How would you design a RESTful API using FastAPI that supports 10,000 concurrent users?",template
Backend Developer,REST API,Hard,technical,What are the internal memory management strategies used by REST API?,template
ML Engineer,scikit-learn,Medium,behavioural,Describe a challenging bug you solved using scikit-learn. What was your thought process?,template
Data Analyst,Statistics,Medium,system_design,"How would you design a RESTful API using Statistics that supports 10,000 concurrent users?",template
Backend Developer,PostgreSQL,Easy,behavioural,Tell me about a project where you used PostgreSQL.,template
ML Engineer,Model Deployment,Medium,system_design,Design a e-commerce platform that uses Model Deployment for caching. What components would you include?,template
Backend Developer,Django,Hard,technical,A race condition is occurring in your Django setup under load. Describe your complete debugging and resolution strategy.,template
Backend Developer,Node.js,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving Node.js under tight time pressure.,template
Frontend Developer,CSS,Medium,technical,How does CSS handle caching invalidation in a production environment?,template
Backend Developer,Node.js,Medium,behavioural,Describe a challenging bug you solved using Node.js. What was your thought process?,template
DevOps Engineer,Ansible,Easy,technical,Define Ansible and its primary use case.,template
Frontend Developer,TypeScript,Hard,technical,A critical deadline is approaching and TypeScript is causing unexpected memory leak. How do you manage the situation?,template
Frontend Developer,Next.js,Easy,behavioural,Describe your experience learning Next.js for the first time.,template
Data Analyst,NumPy,Medium,system_design,Design the database schema for a real-time chat app that uses NumPy as its data layer.,template
Frontend Developer,React,Medium,technical,How would you use React to handle high concurrency in a real-world application?,template
Backend Developer,Kafka,Medium,technical,What are the trade-offs of using Kafka over alternatives?,template
Frontend Developer,Redux,Hard,technical,"How does Redux ensure horizontal scalability at scale, and what are its architectural limitations?",template
Data Analyst,SQL,Medium,technical,A SQL application in production is consuming 90% CPU. How do you investigate and resolve this?,template
ML Engineer,BERT,Easy,system_design,How would you structure a basic project using BERT?,template
Frontend Developer,Vue.js,Hard,technical,What are the internal memory management strategies used by Vue.js?,template
ML Engineer,MLflow,Medium,system_design,Design a job scheduling system that uses MLflow for session management. What components would you include?,template
Full Stack Developer,TypeScript,Medium,technical,Your team is migrating an existing system to use TypeScript. What is your migration plan?,template
Data Analyst,Excel,Medium,technical,A memory leak is suspected in your Excel application. How do you confirm and eliminate it?,template
ML Engineer,MLflow,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving MLflow under tight time pressure.,template
DevOps Engineer,Terraform,Medium,technical,What are the trade-offs of using Terraform over alternatives?,template
Backend Developer,Docker,Easy,technical,How would you use Docker to build a simple notification service?,template
Backend Developer,Docker,Hard,system_design,Design a multi-region deployment of Docker for a global application with sub-100ms latency requirements.,template
Frontend Developer,Next.js,Medium,behavioural,Tell me about a time you had to convince your team to adopt Next.js. How did you make the case?,template
Backend Developer,Redis,Hard,technical,"How does Redis ensure high availability at scale, and what are its architectural limitations?",template
Backend Developer,Python,Hard,technical,You are the lead engineer on a notification service serving 5 million users. How would you architect Python into the stack?,template
DevOps Engineer,Jenkins,Hard,technical,You are the lead engineer on a URL shortener serving 5 million users. How would you architect Jenkins into the stack?,template
Backend Developer,Django,Easy,system_design,Design a simple todo app using Django as the core technology.,template
Frontend Developer,Next.js,Hard,technical,What are the internal memory management strategies used by Next.js?,template
Full Stack Developer,TypeScript,Hard,technical,You are the lead engineer on a notification service serving 5 million users. How would you architect TypeScript into the stack?,template
DevOps Engineer,Terraform,Hard,technical,A critical deadline is approaching and Terraform is causing unexpected memory leak. How do you manage the situation?,template
Backend Developer,RabbitMQ,Easy,technical,What are the main features of RabbitMQ?,template
Frontend Developer,Next.js,Medium,behavioural,Describe a challenging bug you solved using Next.js. What was your thought process?,template
ML Engineer,PyTorch,Easy,behavioural,Describe your experience learning PyTorch for the first time.,template
DevOps Engineer,Terraform,Hard,technical,A race condition is occurring in your Terraform setup under load. Describe your complete debugging and resolution strategy.,template
Frontend Developer,Webpack,Medium,system_design,Design the database schema for a analytics dashboard that uses Webpack as its data layer.,template
Backend Developer,Django,Medium,behavioural,Tell me about a time you had to convince your team to adopt Django. How did you make the case?,template
Backend Developer,Python,Easy,system_design,Design a simple todo app using Python as the core technology.,template
Backend Developer,Node.js,Hard,technical,A critical deadline is approaching and Node.js is causing unexpected connection pool exhaustion. How do you manage the situation?,template
Backend Developer,RabbitMQ,Medium,technical,You are building a analytics dashboard and need to integrate RabbitMQ. Walk me through your approach.,template
Backend Developer,PostgreSQL,Medium,behavioural,Describe a challenging bug you solved using PostgreSQL. What was your thought process?,template
Backend Developer,Node.js,Hard,system_design,Architect a fault-tolerant analytics dashboard using Node.js. How do you handle failures without data loss?,template
Full Stack Developer,React,Hard,system_design,Design a highly scalable e-commerce platform using React that handles 1 million events per second.,template
Backend Developer,Python,Hard,behavioural,"Tell me about a time Python caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
ML Engineer,BERT,Hard,technical,A critical deadline is approaching and BERT is causing unexpected high latency spikes. How do you manage the situation?,template
Data Analyst,Python,Medium,system_design,Design a e-commerce platform that uses Python for message queuing. What components would you include?,template
Data Analyst,Excel,Medium,system_design,"How would you design a RESTful API using Excel that supports 10,000 concurrent users?",template
ML Engineer,BERT,Hard,technical,"How does BERT ensure fault tolerance at scale, and what are its architectural limitations?",template
DevOps Engineer,Kubernetes,Easy,technical,A basic Kubernetes function is returning None unexpectedly. How do you debug it?,template
Full Stack Developer,GraphQL,Medium,technical,You are building a real-time chat app and need to integrate GraphQL. Walk me through your approach.,template
Data Analyst,NumPy,Medium,technical,How does NumPy handle caching invalidation in a production environment?,template
Data Analyst,Excel,Hard,technical,Your real-time chat app is experiencing connection pool exhaustion at 10x normal traffic. How do you use Excel to diagnose and resolve it?,template
DevOps Engineer,Terraform,Medium,behavioural,Describe a challenging bug you solved using Terraform. What was your thought process?,template
Full Stack Developer,Node.js,Medium,system_design,Design a analytics dashboard that uses Node.js for audit logging. What components would you include?,template
DevOps Engineer,Kubernetes,Hard,technical,A race condition is occurring in your Kubernetes setup under load. Describe your complete debugging and resolution strategy.,template
Full Stack Developer,GraphQL,Medium,technical,Your team is migrating an existing system to use GraphQL. What is your migration plan?,template
DevOps Engineer,Linux,Easy,technical,What are the main features of Linux?,template
Data Analyst,SQL,Hard,technical,What are the internal memory management strategies used by SQL?,template
Full Stack Developer,Node.js,Easy,technical,You are starting a new Full Stack Developer project. Why would you choose Node.js?,template
Data Analyst,Statistics,Medium,system_design,Design the database schema for a job scheduling system that uses Statistics as its data layer.,template
Full Stack Developer,MongoDB,Easy,technical,You are starting a new Full Stack Developer project. Why would you choose MongoDB?,template
ML Engineer,MLflow,Hard,technical,"A deadlock is occurring in your MLflow database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Backend Developer,REST API,Medium,technical,A REST API application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Backend Developer,Node.js,Hard,technical,"Compare Node.js with its closest alternative in terms of performance, scalability, and developer experience.",template
Frontend Developer,React,Easy,system_design,How would you structure a basic project using React?,template
Data Analyst,Tableau,Easy,technical,How would you use Tableau to build a simple job scheduling system?,template
Data Analyst,Python,Easy,technical,How would you use Python to build a simple notification service?,template
ML Engineer,scikit-learn,Easy,technical,A basic scikit-learn function is returning None unexpectedly. How do you debug it?,template
DevOps Engineer,Ansible,Medium,system_design,"How would you design a RESTful API using Ansible that supports 10,000 concurrent users?",template
Frontend Developer,JavaScript,Easy,behavioural,Tell me about a project where you used JavaScript.,template
Frontend Developer,JavaScript,Easy,technical,What problem does JavaScript solve in software development?,template
Frontend Developer,Vue.js,Easy,technical,How would you use Vue.js to build a simple e-commerce platform?,template
Data Analyst,Pandas,Easy,technical,What are the main features of Pandas?,template
DevOps Engineer,CI/CD,Easy,behavioural,Describe your experience learning CI/CD for the first time.,template
Frontend Developer,Next.js,Medium,technical,Users are reporting intermittent failures in a Next.js service. How do you reproduce and fix the issue?,template
Backend Developer,Node.js,Medium,technical,How does Node.js handle high concurrency in a production environment?,template
DevOps Engineer,Ansible,Hard,technical,"Compare Ansible with its closest alternative in terms of performance, scalability, and developer experience.",template
Data Analyst,Power BI,Medium,technical,Explain how Power BI works under the hood.,template
Data Analyst,NumPy,Easy,technical,Explain the basic concept of NumPy in simple terms.,template
ML Engineer,PyTorch,Medium,behavioural,Tell me about a time you had to convince your team to adopt PyTorch. How did you make the case?,template
Full Stack Developer,Docker,Hard,technical,A race condition is occurring in your Docker setup under load. Describe your complete debugging and resolution strategy.,template
ML Engineer,MLflow,Hard,technical,"How does MLflow ensure fault tolerance at scale, and what are its architectural limitations?",template
Backend Developer,Kafka,Hard,technical,A race condition is occurring in your Kafka setup under load. Describe your complete debugging and resolution strategy.,template
Frontend Developer,React,Easy,technical,You are starting a new Frontend Developer project. Why would you choose React?,template
Frontend Developer,CSS,Hard,technical,"Compare CSS with its closest alternative in terms of performance, scalability, and developer experience.",template
Data Analyst,Statistics,Hard,technical,Your real-time chat app is experiencing cascading timeouts at 10x normal traffic. How do you use Statistics to diagnose and resolve it?,template
ML Engineer,BERT,Hard,behavioural,"Tell me about a time BERT caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
DevOps Engineer,Jenkins,Medium,system_design,"How would you design a RESTful API using Jenkins that supports 10,000 concurrent users?",template
DevOps Engineer,Jenkins,Hard,system_design,Architect a fault-tolerant real-time chat app using Jenkins. How do you handle failures without data loss?,template
Data Analyst,Power BI,Hard,technical,Your job scheduling system is experiencing connection pool exhaustion at 10x normal traffic. How do you use Power BI to diagnose and resolve it?,template
ML Engineer,Model Deployment,Easy,technical,You are starting a new ML Engineer project. Why would you choose Model Deployment?,template
Backend Developer,Redis,Medium,technical,A Redis application in production is consuming 90% CPU. How do you investigate and resolve this?,template
Full Stack Developer,MongoDB,Medium,technical,How does MongoDB handle authentication at scale in a production environment?,template
Backend Developer,REST API,Easy,technical,How would you use REST API to build a simple e-commerce platform?,template
DevOps Engineer,Linux,Hard,technical,"A deadlock is occurring in your Linux database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Backend Developer,Node.js,Medium,system_design,Design a notification service that uses Node.js for full-text search. What components would you include?,template
Backend Developer,MongoDB,Hard,technical,A critical deadline is approaching and MongoDB is causing unexpected data corruption. How do you manage the situation?,template
Backend Developer,Node.js,Medium,behavioural,Tell me about a time you had to convince your team to adopt Node.js. How did you make the case?,template
Full Stack Developer,TypeScript,Hard,technical,Your URL shortener is experiencing cascading timeouts at 10x normal traffic. How do you use TypeScript to diagnose and resolve it?,template
Backend Developer,MongoDB,Easy,system_design,Design a simple todo app using MongoDB as the core technology.,template
Data Analyst,SQL,Hard,system_design,Architect a fault-tolerant real-time chat app using SQL. How do you handle failures without data loss?,template
ML Engineer,PyTorch,Hard,technical,"How does PyTorch ensure fault tolerance at scale, and what are its architectural limitations?",template
DevOps Engineer,Jenkins,Hard,technical,A race condition is occurring in your Jenkins setup under load. Describe your complete debugging and resolution strategy.,template
Backend Developer,Django,Medium,technical,How would you use Django to handle caching invalidation in a real-world application?,template
Frontend Developer,Webpack,Medium,technical,A memory leak is suspected in your Webpack application. How do you confirm and eliminate it?,template
Backend Developer,RabbitMQ,Hard,technical,"A deadlock is occurring in your RabbitMQ database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Full Stack Developer,GraphQL,Hard,technical,"A deadlock is occurring in your GraphQL database layer during peak traffic. How do you detect, resolve, and prevent this?",template
Data Analyst,Tableau,Easy,technical,Your Tableau application is throwing an unhandled error on startup. What are your first steps?,template
Backend Developer,RabbitMQ,Easy,behavioural,Describe your experience learning RabbitMQ for the first time.,template
Frontend Developer,TypeScript,Easy,technical,Your TypeScript application is throwing an unhandled error on startup. What are your first steps?,template
Data Analyst,Statistics,Easy,technical,How would you use Statistics to build a simple notification service?,template
DevOps Engineer,AWS,Easy,technical,What are the main features of AWS?,template
Frontend Developer,Webpack,Easy,technical,Define Webpack and its primary use case.,template
Data Analyst,Power BI,Medium,technical,Users are reporting intermittent failures in a Power BI service. How do you reproduce and fix the issue?,template
Data Analyst,NumPy,Hard,system_design,Architect a fault-tolerant e-commerce platform using NumPy. How do you handle failures without data loss?,template
Backend Developer,RabbitMQ,Hard,behavioural,"Tell me about a time RabbitMQ caused a production incident that affected users. How did you lead the resolution, and what did you change afterwards?",template
Data Analyst,SQL,Medium,behavioural,Describe a challenging bug you solved using SQL. What was your thought process?,template
DevOps Engineer,CI/CD,Easy,technical,How would you use CI/CD to build a simple e-commerce platform?,template
ML Engineer,scikit-learn,Medium,technical,What are the trade-offs of using scikit-learn over alternatives?,template
ML Engineer,scikit-learn,Easy,behavioural,Tell me about a project where you used scikit-learn.,template
ML Engineer,MLflow,Easy,technical,Your MLflow application is throwing an unhandled error on startup. What are your first steps?,template
Backend Developer,Kafka,Medium,system_design,Design the database schema for a e-commerce platform that uses Kafka as its data layer.,template
ML Engineer,scikit-learn,Medium,technical,How does scikit-learn handle rate limiting in a production environment?,template
Data Analyst,Statistics,Easy,technical,What problem does Statistics solve in software development?,template
ML Engineer,BERT,Hard,behavioural,Describe a situation where you had to make a critical architectural decision involving BERT under tight time pressure.,template
DevOps Engineer,Terraform,Hard,technical,"Compare Terraform with its closest alternative in terms of performance, scalability, and developer experience.",template
Backend Developer,Python,Easy,technical,You are starting a new Backend Developer project. Why would you choose Python?,template
Full Stack Developer,React,Medium,system_design,Design a job scheduling system that uses React for session management. What components would you include?,template
Backend Developer,Redis,Easy,technical,"If a junior developer asked you to explain Redis, what real-world analogy would you use?",template
Frontend Developer,React,Easy,technical,How would you use React to build a simple real-time chat app?,template
Frontend Developer,React,Easy,technical,Your React application is throwing an unhandled error on startup. What are your first steps?,template
